"id","order","start.url","titulo","barra","club","pais","cancion"
"1","1648751415-4579","https://barrabrava.net/deportivo-cali/frente-radical-verdiblanco/letra/cantare-con-todo-el-alma/","""Cantare con todo el alma""","Frente Radical Verdiblanco"," Deportivo Cali","Colombia","Todo en mi vida a cambiado / Desde que te conoci Paso las noches soñando / Y esperando el momento de estar junto a ti Siempre me muero por verte / Y con el Frente alentar No somos como las locas / Hinchas del rojo coca que a la B fue a parar Cantare con todo el alma para vos / Eres mi delirio eterno eres mi amor ( Bis ) Daria la vida entera / La la la la / Y aunque un día me muera Hoy te tengo a mi lado / Y soy muy FELIZ."
"2","1648749837-3952","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/con-esta-camiseta-hay-que-ir-para-adelante/","""Con esta camiseta hay que ir para adelante""","La Gloriosa Butteler"," San Lorenzo","Argentina","Y dale dale matador, dale matador que la gloriosa esta de fiesta, ya llego vino alentarte sin parar esta re loca por la vuelta, quiere festejar Por eso les pedimos que pongan mas huevos así este campeonato se queda en boedo con esta camiseta hay que ir para adelante nosotros en la tribuna vamo a acompañarte"
"3","1648751907-4818","https://barrabrava.net/melgar/leon-del-svr/letra/como-no-voy-a-alentar/","""Â¿como no voy a alentar?""","León del Svr"," Melgar","Peru","¿como no voy a alentar? Ser rojinegro es vna alegría, ¿como no voy a alentar? Si el sentimiento nvnca termina. De la cabeza a los pies, Soy rojinegro hasta los hvesos, Esta es tv gente,"
"4","1648751373-4559","https://barrabrava.net/talleres/la-fiel/letra/si-sos-de-belgrano-vos-sos-vigilante/","""Si sos de belgrano vos sos vigilante""","La Fiel"," Talleres","Argentina","si sos de belgrano vos sos vigilante sos como la gloria no tenes aguante quien manda en la docta todos lo sabemos porque en las finales siempre los cojemos matador matador dale dale matador matador matador dale dale matador"
"5","1648754051-5857","https://barrabrava.net/independiente-medellin/rexixtenxia-norte/letra/hay-una-cosa-que-te-voy-asegurar/","""Hay una cosa que te voy asegurar""","Rexixtenxia Norte"," Independiente Medellín","Colombia","Hay una cosa que te voy asegurar que al poderoso no lo vamo´ abandonar tu hermosa Hinchada que lleva mas de un Centenario.. Y Hasta la muerte siempre te estará Alentando Aunque ya fueron muchas veces que sufrí No importa nada el sentimiento Medellin y Aunque pierdas nunca para ni un segundo Siempre te Alienta LA HINCHADA MAS LINDA DEL MUNDO Vamos Campeón.. esta es la Hinchada que nunca Abandono Sos mi Pasión.. se me para el corazón cada vez que estoy con vos Y no me importa que me digan mis amigos que el rojo nunca a ganado nada lo siento y lo digo con orgullo Rojo Es mi Corazón.. Medelin mi gran Amor"
"6","1648754316-5987","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/esta-es-la-banda-albiverde-que-nunca-abandona/","""Esta es la Banda Albiverde que Nunca Abandona""","Los de Siempre"," Oriente Petrolero","Bolívia","Esta es la banda Albiverde.. Que lleva la vida... Que nunca abandona..."
"7","1648751578-4660","https://barrabrava.net/deportes-temuco/los-devotos/letra/como-canta-la-hinchada/","""Como canta la hinchada""","Los Devotos"," Deportes Temuco","Chile","A ver a ver como canta la hinchada somos devotos y los demas no importan nada..."
"8","1648748648-3364","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/vos-sos-la-pasion-que-llevo-en-el-corazon/","""Vos sos la pasión que llevo en el corazón.""","La Banda de la Quema"," Huracán","Argentina","Yo soy de la Quema, vago y atorrante Yo lo sigo al Globo siempre a todas partes A los jugadores, les pido más huevos Por la camiseta que yo tanto quiero Pasaron los años, y los dirigentes Lo que no pasó es el amor de la gente Que estuvo en las malas Se bancó el descenso Que en el Puente Alsina corrió a San Lorenzo Vamos Globo yo te quiero Ver salir campeón de nuevo Vos sos la pasión que llevo en el corazón."
"9","1648753132-5415","https://barrabrava.net/gremio/geral-do-gremio/letra/bailando/","""Bailando""","Geral do Grêmio"," Grêmio","Brasil","Vamos Grêmio eu te levo no meu coração Força e raça te pedimos para sair campeão O que sinto não se pode explicar com palavras Tuas cores tatuadas são o meu brasão Peleando Cantando Te juro que até do céu estarei ao teu lado Alentando Descontrolado Nós viemos pela camiseta e não pelo resultado Sempre estou contigo Grêmio querido pela cabeça tomando vinho A Banda tá louca Queremos a Copa."
"10","1648748674-3377","https://barrabrava.net/gremio/geral-do-gremio/letra/de-pequeno-eu-te-sigo/","""De Pequeno Eu Te Sigo""","Geral do Grêmio"," Grêmio","Brasil","De pequeno eu te sigo Sempre vou a todo lado Eu venho te ver, descontrolado! E mais te alento, se está perdendo Um sentimento, não trate de entendê-lo..."
"11","1648749694-3883","https://barrabrava.net/xelaju/sexto-estado/letra/para-vos-descolorido-pecho-frio/","""Para vos descolorido pecho frio""","Sexto Estado"," Xelajú","Guatemala","No me importa lo que digan lo que digan los demás siguen siendo una mierda Y cada vez apestan más Crema hijo de puta en esta campaña el chivo sera tu padre Hijo de puta sin afición Esta es la hinchada que la madre le mentó."
"12","1648750217-4096","https://barrabrava.net/huracan-de-comodoro/barra-de-fierro/letra/lo-mas-grande-en-comodoro/","""Lo más grande en Comodoro""","Barra de Fierro"," Huracán de Comodoro","Argentina","Porque ya somos historia, En el fútbol nacional, Lo más grande en Comodoro, CLUB ATLÉTICO HURACAN!! Y dale Gloooo, y dale Glo, y dale Gloooo, y dale Glo, y dale Glooooo, y dale Glo, y dale Globo, dale"
"13","1648750308-4141","https://barrabrava.net/alianza-petrolera/dominio-aurinegro/letra/orgullo-barranqueno/","""Orgullo Barranqueño""","Dominio Aurinegro"," Alianza Petrolera","Colombia","Orgullo Barranqueño yo soy del Aurinegro... Te sigo de pendejo... por que es un sentimiento... Esta Banda que esta descontrolada no te deja de alentar jamas jamas... Vamos vamos Alian... vamos a ganar... la Anarkia te va alentar... vamos petrolera Hoy te vengo aver hoy no... podes perder..."
"14","1648753173-5435","https://barrabrava.net/gremio/geral-do-gremio/letra/hoje-eu-vim-te-apoiar/","""Hoje eu vim te apoiar""","Geral do Grêmio"," Grêmio","Brasil","Vamo Vamo Tricolor Hoje eu vim de apoiar Para te ver campeão Para te ver ganhar"
"15","1648752508-5116","https://barrabrava.net/flamengo/nacao-12/letra/nao-ligo/","""Não ligo""","Nação 12"," Flamengo","Brasil","Eu nunca joguei a Série B E nunca passei perto da C Flamengo, tu és um gigante Te sigo a todo instante Pra te apoiar Não posso parar Por ti vou cantar Não ligo se ganhar ou perder Mas faço um pedido a você Que jogue por essa camisa Que honre a sua torcida Vamos Flamengo, vamos Flamengo"
"16","1648753918-5792","https://barrabrava.net/everton-de-vina-del-mar/los-del-cerro/letra/ever-eres-mi-vida/","""Ever eres mi vida""","Los del Cerro"," Everton de Viña del Mar","Chile","Ever es mi vida… Por ti yo dejo la vida… Los palos , tampoco el descenso… Pudieron con el sentimiento… Que siento por vos… Yo te llevo en el corazón… Por eso vengo Efore Mi pasión, la alegría de mi corazón… Efore, siempre voy… Esta hinchada quiere ser campeón..."
"17","1648754201-5931","https://barrabrava.net/independiente/la-barra-del-rojo/letra/lo-sigo-a-independiente-de-la-cabeza/","""Lo sigo a Independiente de la cabeza""","La Barra del Rojo"," Independiente","Argentina","lo sigo a Independiente de la cabeza  el Rojo es un sentimiento  que se lleva en el corazón  daría toda mi vida por ser campeón  Dale, dale Ro... (4x)"
"18","1648749553-3814","https://barrabrava.net/club-deportivo-palestino/los-baisanos/letra/no-me-arrepiento-de-este-amor/","""No me arrepiento de este amor""","Los Baisanos"," Club Deportivo Palestino","Chile","No me arrepiento de este amor, aunque me cueste el corazón, llevo la camiseta en la piel, pongamo huevo pa salir campeón, Y aunque ganes, aunque pierdas, no me importa una mierda, yo te sigo hasta la muerte tricolor."
"19","1648752438-5081","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/evo-evo-k-bron/","""Evo, Evo K-bron""","Los de Siempre"," Oriente Petrolero","Bolívia","Evo Evo k-bron Sos un Hijo de Puta Evo Evo k-bron"
"20","1648750143-4059","https://barrabrava.net/emelec/boca-del-pozo/letra/te-juro-yo-bombillo-que-no-se-como-vivir-sin-ti/","""Te juro yo bombillo que no se como vivir sin ti""","Boca del Pozo"," Emelec","Ecuador","Te juro yo bombillo que no se como vivir sin ti... Si tu supieras... todo lo que yo dejé Por verte jugar Y campeonar No importa cualquier cancha... siempre vamo a estar Quiero otra vuelta darr La boca del pozo hasta el final Aunque... pasen los años... la hinchada sigue aquí De ti me enamoreeeeee CLUB SPORT EMELEC!!"
"21","1648752836-5273","https://barrabrava.net/deportivo-tachira/avalancha-sur/letra/aurinegro-tu-eres-la-pasion/","""Aurinegro tu eres la pasión""","Avalancha Sur"," Deportivo Táchira","Venezuela","Aurinegro tu eres la pasión... tu me haces feliz... solo quiero que salgas campeón. alentarte por siempre jure.... local o visitante... este pueblo desborda pasión.... no hay nada semejante.. dale dale campeón.. que esta hinchada esta loca... yo te aliento a morir.... sobre todas las cosas."
"22","1648749498-3787","https://barrabrava.net/deportes-iquique/furia-celeste/letra/iquique-eres-pasion/","""Iquique eres pasion""","Furia Celeste"," Deportes Iquique","Chile","Iquique eres pasion, locura de mi corazoon te sigo a donde vas, y cada ves te quiero mas los tecnico se van , los jugadores pasaran la hinchada quedara, y cada vez te quiero mas vamooooos los dragones que tenemos que ganar, esta es la fiel del norte, no te deja de alentar."
"23","1648754346-6002","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/desde-chiquito-yo-te-vengo-a-ver/","""Desde Chiquito yo te vengo a ver""","Los de Siempre"," Oriente Petrolero","Bolívia","Desde Chiquito yo te vengo a ver y me persigue la policía.... No se hasta cuando me van a joder no se dan cuenta que vos sos mi vida... Vamos Oriente.... hay que poner mas huevo..toda... tu hinchada.... quiere que seas primero.."
"24","1648749545-3810","https://barrabrava.net/universidad-de-chile-la-u/los-de-abajo/letra/quiero-verte-otra-vez-marihuana-fumar/","""Quiero verte otra vez, marihuana fumar""","Los de Abajo"," Universidad de Chile - La U","Chile","Quiero verte otra vez, marihuana fumar, tomarme unos copetes, y ponerme a cantaaaaaaaaar. Juega para mí, este año quiero verte campeón Seguirte a todas partes león, siempre rompiedo la voooooz Eres sensación, eres ladrón de mi corazón, señores es una enfermedad, que no se puede curaaaaaar"
"25","1648752536-5130","https://barrabrava.net/universidad-de-chile-la-u/los-de-abajo/letra/esta-hinchada-esta-re-loca/","""Esta hinchada esta re loca""","Los de Abajo"," Universidad de Chile - La U","Chile","Esta hinchada esta reloca, de tanto jalar falopa porque esta es una hinchada, terrible buena pa la droga esta hinchada fuma pasta, hasta ya no decir basta le gusta la marihuana, y aveces caer en cana Desde que era chiquitito, que yo fumo pito tomo ron, y aliento al leon para que entiendan que esta locura, se lleva desde la cuna al cajon y por eso le digo a mi vieja, que por el bulla la vida yo doy y por eso que todos los domingos, vengo alentarte sobre el tablon"
"26","1648748809-3444","https://barrabrava.net/remo/camisa-33/letra/por-essa-gente-que-te-acompanha-desde-1905/","""Por essa gente que te acompanha desde 1905""","Camisa 33"," Remo","Brasil","Vamos, vamos ganhar, queremos mais essa taça Viemos para te apoiar, não importa o que aconteça Só pedimos que tenham raça, e que honrem o azul marinho, Por essa gente que te acompanha, desde 1905 Ôôôh Meu Remo, meu Remo, meu Remo. [2x]"
"27","1648753306-5501","https://barrabrava.net/liverpool-de-montevideo/los-negros-de-la-cuchilla/letra/que-paso-con-esos-putos-que-decian/","""Qué pasó con esos putos que decían""","Los Negros de la Cuchilla"," Liverpool de Montevideo","Uruguay","Qué pasó con esos putos que decían Que a primera Liverpool no volveria Demostramos que estuvimos en las malas Le cerramo' el culo a todas las hinchadas Vamo vamo el negro Yo siempre te aliento Para ser campeón, ponga mas huevo Esta es tu hinchada, esta es tu gente La que esta presente hasta la muerte"
"28","1648751776-4758","https://barrabrava.net/independiente-rivadavia/los-caudillos-del-parque/letra/es-una-fiesta-es-un-carnaval/","""Es una fiesta, es un carnaval""","Los Caudillos del Parque"," Independiente Rivadavia","Argentina","es una fiesta, es un carnaval son los leprosos que locos que estan no somos amargo como Godoy Cruz a esos Puto los vamos a matar..... eeeeeeee eeeel que no salta es tombino oh oh oh oh oh oh oh"
"29","1648752494-5109","https://barrabrava.net/internacional/guarda-popular/letra/tu-es-o-grande-amor-da-minha-vida/","""Tu és o grande amor da minha vida""","Guarda Popular"," Internacional","Brasil","Tu és o grande amor da minha vida Colorado das glórias querido Por você, eu morro de amor Somos a torcida dos macacos Sempre levando o trago e o churrasco Com o Colorado aonde ele for Não posso me esquecer do gol do tinga Numa noite de alegria 16 de agosto oooo E hoje, querido Internacional Cantando eu sigo contigo Buscando o mundial"
"30","1648749297-3687","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/prepara-la-24-prepara-la-26/","""Prepara La 24, Prepara La 26""","Los Borrachos del Tablón"," River Plate","Argentina","Prepara la 24 Prepara la 26 Preparate che bostero Que ya llega River Plate"
"31","1648749026-3552","https://barrabrava.net/atletico-nacional/los-del-sur/letra/vamos-todos-juntos-la-hinchada-y-los-jugadores/","""Vamos todos juntos la hinchada y los jugadores""","Los del Sur"," Atlético Nacional","Colombia","Vamos Todos Juntos La Hinchada Y Los Jugadores A Ganar De Nuevo La Copa Libertadores Soy del verde Porque el verde es alegría El Más Grande De Colombia verdolaga de mi vida Lloran Todos Las Gallinas La Indigencia Porque Saben Que Este Año Los verdes Damos La Vuelta"
"32","1648749726-3899","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/hay-rojo-puto/","""Hay Rojo Puto""","Los de Siempre"," Oriente Petrolero","Bolívia","Ayyy rojo puto la pena que vos me das, Te robamos tu bandera y era la principal... Vos sos un cobarde Esa es la verdad... Vos custodiado a cualquier ciudad... La hinchada de oriente al capriles iran Somos los de simpre te vamo a matar... Ayyy rojo puto que distintos somos Ustedes van con los palcos Nosotros viajamos solo Ayyy rojo puto la pena que vos me das, Te robamos tu bandera y era la principal... Vos sos un cobarde Esa es la verdad... Vos custodiado a cualquier ciudad... La hinchada de oriente al capriles iran Somos los de simpre te vamo a matar... (la vergüenza de bolivia collas cochambinas)"
"33","1648751424-4583","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/cuando-yo-me-muera-yo-quiero-que-mi-cajon/","""Cuando yo me muera, yo quiero que mi cajón""","La Banda de la Quema"," Huracán","Argentina","Vamos los Quemeros, yo te vengo a ver, Tenemos los trapos... De la Butteler. Jugar en Primera y verte Campeón, Pasarme la vida corriento al Ciclón. Cuando yo me muera, yo quiero que mi cajón, Sea de Rojo y Blanco, como mi Corazón... Y si perdemos, tampoco me hago problema, Soy cada día más hincha... Del Globo y de la Quema..."
"34","1648752048-4888","https://barrabrava.net/universidad-catolica/los-cruzados/letra/cato-locura/","""Cato locura""","Los Cruzados"," Universidad Católica","Chile","Cato locura te alentaba cuando estaba en la cuna Cato te quiero que por verlos campeones yo me muero Vamos vamos cruzados que tienes que ganar Que esta hinchada te alienta y es la del carnaval Porque te quiero tanto te sigo a donde vas Y en la cancha que juegues presente vamos a estar"
"35","1648752337-5031","https://barrabrava.net/alianza/la-ultra-blanca-y-barra-brava-96/letra/local-o-visitante-voy-descontrolado/","""Local o visitante voy descontrolado""","La Ultra Blanca y Barra Brava 96"," Alianza","El Salvador","Vamos alianza no importa donde juegues voy a todos lados! local o visitante voy descontrolado! vamos alianza pongan huevos que ganamos!!!"
"36","1648750644-4277","https://barrabrava.net/boca-juniors/la-12/letra/racing-va-a-correr-la-yuta-tambien/","""Racing va a correr la yuta también""","La 12"," Boca Juniors","Argentina","Es una noche especial no se la valla a perder Racing va a correr la yuta tambien"
"37","1648750470-4197","https://barrabrava.net/coquimbo-unido/al-hueso-pirata/letra/el-mamayo-se-cago/","""El mamayo se cagó""","Al Hueso Pirata"," Coquimbo Unido","Chile","AL HUESO PIRATA, la brava de la Cuarta culiando mamayos en rumbo al estadio se cagó, se cagó el mamayo se cagó se cagó, se cagó el mamayo se cagó y vamos Aurinegro tu eres mi vida culiando mamayos de noche y de día tenemos de casero a los del cerro y a esos los panzers LONJI y a los mamayeros dale oh, dale oh, dale oh, dale oh..."
"38","1648754254-5956","https://barrabrava.net/atlas/barra-51/letra/desde-que-te-vi/","""Desde que te vi""","Barra 51"," Atlas","México","Desde que te vi mi vida te entregue yo a ti eres mi pasión la locura de mi corazón vamos la acade no podemos perder que esta gente hoy te vino a ver vamos la acade ponga huevo y corazón que esta gente quiere salir campeón…"
"39","1648751774-4757","https://barrabrava.net/atletico-bucaramanga/fortaleza-leoparda-sur/letra/aguante-como-el-nuestro/","""Aguante como el Nuestro""","Fortaleza Leoparda Sur"," Atlético Bucaramanga","Colombia","Aguante como el nuestro cada vez hay menos... Que tiemble San Alonoso que llego la banda Cantando con un vino y un porro en la mano... no nos importa nada vamos a la cancha Es la banda del leopardo locos enamorados se eschucha en el Alfonso te siguen alentando aguante como el nuestro no va morir jamas como lo dice mi gente del leopardo se nace con este sentimiento vamos a todas partes aguante como el nuestro no va a morir jamas."
"40","1648754344-6001","https://barrabrava.net/racing-club/la-guardia-imperial/letra/yo-se-como-van-yo-se-como-vienen/","""Yo se como van yo se como vienen""","La Guardia Imperial"," Racing Club","Argentina","Yo se como van yo se como vienen si vas a la cancha vas en celular si vos sos amigo de toda la yuta y con la academia vos no te plantas. Ay independiente que risa me das te corrió la guardia imperial, fueron todos al hospital, Ay independiente que puto que sos todos saben que sos cagón todos saben que sos botón independiente PUTO fue al hospital independiente PUTO fue al funeral"
"41","1648752430-5077","https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/no-voy-a-dejarte/","""No voy a Dejarte""","Baron Rojo Sur"," América de Cáli","Colombia","Dicen que voy a la cancha que soy un borracho Que soy de la mecha y voy descontrolado/ Y a pesar de todo yo te vengo a ver oh oh Dicen que los dirigentes ya lo negociaron Lo que mas importa es cuanto yo te amo Rojo dejo todo por venirte a ver oh oh/ Llevo en la sangre toda esta alegría que no tenga duda Por mas que ofenda y que duela no pienso acabar mi locura Este descenso que duele no es facial Me hizo mas fuerte ayudo a levantarme del suelo Porque el Rojo es muy graandee Esta es tu hinchada que alienta en las malas/ Y a los jugadores solo le pedimos mas huevos oh oh oh No voy a dejarte"
"42","1648751399-4572","https://barrabrava.net/coquimbo-unido/al-hueso-pirata/letra/porque-nadie-entiende/","""Porque nadie entiende""","Al Hueso Pirata"," Coquimbo Unido","Chile","Porque nadie entiende la pasion que siento es un sentimiento que llevo adentro eso es ser Huesero de corazón no me importa nada por el Aurinegro rompo garganta junto a esta hinchada la que no te deja de alentar vamos a ver al Aurinegro y dale oh te seguiremos en las buenas y en las malas en el tablón te alentaremos"
"43","1648750606-4259","https://barrabrava.net/san-martin-de-tucuman/la-banda-del-camion/letra/vamos-ciudadela/","""Vamos Ciudadela""","La Banda del Camion"," San Martín de Tucumán","Argentina","Vamos Ciudade Vamos Vamos Vamos Ciudade Vamos Ciudadela La Descontrolada La Banda Del Santo Que Toma Merca Y Dama Juana Y Esta Re Sarpada Se Planta Y Te Pega Te Roba Los Trapos Te Hace Correr Por La Ciudadela Y Adonde Sea Decano Puto Cuando Te Vas A Plantar No Tenga Miedo Esta Banda Tiene Aguante De Verdad Al Tomba Lo Corremos , A Talleres Ya Los Vamos A Agarrar Por Chamuyero No Me Olvido De Los Putos De Colon Y Los Salteños"
"44","1648749692-3882","https://barrabrava.net/defensores-de-belgrano/la-barra-del-dragon/letra/a-vos-que-sos-hincha-de-excursio/","""A vos que sos hincha de exCursio""","La Barra del Dragón"," Defensores de Belgrano","Argentina","A vos que sos hincha de excursio Y que te mandamo' a la C Te vamo' a mostrar lo que siente La gente que lo sigue a De Nosotros queremos la vuelta Nosotros queremos ascender Nosotros tenemos los huevos que vos no tenes"
"45","1648752141-4934","https://barrabrava.net/gremio/geral-do-gremio/letra/somos-campeoes-do-mundo/","""Somos campeÃµes do mundo""","Geral do Grêmio"," Grêmio","Brasil","Somos campeões do mundo Da Libertadores também Chora macaco imundo Que nunca ganhou de ninguém Somos a banda mais louca A banda louca da Geral A banda que corre os macacos do Internacional"
"46","1648754348-6003","https://barrabrava.net/cruz-azul/la-sangre-azul/letra/cruz-azul-hay-que-ganar/","""Cruz Azul hay que ganar""","La Sangre Azul"," Cruz Azul","México","¡Te aliento! Siempre cantamos al club con todo el sentimiento y borracho quiero repetir ese momento, en serio, quiero ser campeón, ser siempre el primero. Cruz Azul hay que ganar, tu hinchada te está apoyando. Hay que salir a ganar, la camiseta sudar, todos juntos alentando. Cruz Azul hay que ganar, por eso sigo cantando. Tengo la necesidad de volver a campeonar, la décima está esperando."
"47","1648752817-5263","https://barrabrava.net/santa-cruz/portao-10/letra/uma-brasileira/","""Uma Brasileira""","Portão 10"," Santa Cruz","Brasil","Vamos torcer vamos vibrar Sempre com o Tricolor Onde você for eu vou ô ô ô Vamos torcer vamos vibrar Sempre com o Tricolor Onde você for eu vou ô ô ô E no Arrudão Vamos cantar Aquela canção Tricolor ô ô Tricolor ô ô Tricolor ô ô"
"48","1648753301-5498","https://barrabrava.net/barcelona-sporting-club/sur-oscura/letra/volveremos/","""Volveremos""","Sur Oscura"," Barcelona Sporting Club","Ecuador","Volveremos Volveremos!! Volveremos Otra vez!! Volveremos hacer Campeones!! Y a la Verga el emeleb!!"
"49","1648749327-3702","https://barrabrava.net/independiente-medellin/rexixtenxia-norte/letra/el-que-no-alienta-al-rojo-para-que-hijvepvtas-vino/","""El que no alienta al rojo para que hijvepvtas vino""","Rexixtenxia Norte"," Independiente Medellín","Colombia","Descontrolado yo vengo igual... De visitante o de local... Fumando porro y tomando vino... El que no alienta al rojo, para que hijvepvtas vino."
"50","1648749815-3942","https://barrabrava.net/colo-colo/garra-blanca/letra/quiero-seguirte-por-el-mundo-entero/","""Quiero seguirte por el mundo entero""","Garra Blanca"," Colo-Colo","Chile","quiero seguirte por todo el mundo entero quiero pasar la vida pensando en ti ya lo demostramos en los malos momentos que si vas a la luna vamos a ir colo colo este año vamos a salir campeon de la amno de esta hinchada volveremos a japon con la sangre del mapuche esa que te ase especia con la fuerza del hobrero sacaremos a S.A¡¡¡¡¡"
"51","1648753278-5487","https://barrabrava.net/aragua/los-vikingos/letra/venir-a-verte/","""Venir a Verte""","Los Vikingos"," Aragua","Venezuela","Siguiendo al Aragua soy feliz Y junto a él voy a morir Siempre bailando de cabeza Y tomando mucha cerveza Es cuando pierdo la razón Y se desborda mi pasión Mi placer es alentarte Venir a verte es más que amarte Yo sigo al Aragua En las buenas y malas Te quiero ver ganar, te vamos alentar Yo sigo al Aragua No importa en cualquier cancha Tu eres mi pasión, vamos a ser campeón"
"52","1648750642-4276","https://barrabrava.net/saprissa/ultra-morada/letra/para-ser-campeon/","""Para Ser Campeon""","Ultra Morada"," Saprissa","Costa Rica","Dale dale dale oh, hoy te venimo' alentar, para ser Campeon hoy hay que ganar"
"53","1648749195-3636","https://barrabrava.net/godoy-cruz/la-banda-del-expreso/letra/voy-para-el-gambarte/","""Voy para el Gambarte""","La Banda del Expreso"," Godoy Cruz","Argentina","Voy para el Gambarte yo soy bodeguero yo te vengo a ver porque te quiero no nos importa nada y arrancamos caravana muchas veces por vos terminé en cana a los jugadores que dejen La vida quiero un campeonato ,mi alegria es por los colores es por nuestra historia siempre seremos el más grande de mendoza a La lepra un minuto de silencio que a los putos los mandamos al descenso yo soy tombino y no me importa nada meta vino cocaína y marihuana"
"54","1648753979-5822","https://barrabrava.net/once-caldas/holocausto-norte/letra/todas-las-campanas-que-vivi/","""Todas las campañas que viví.""","Holocausto Norte"," Once Caldas","Colombia","Todas las campañas que viví, Todas las canchas donde te seguí, Cuantas fotos que ya nos tomaron, Cuantas veces nos filmaron desde Que te conocí, A la cancha voy igual, Aunque nos busquen todos los del das, Esta banda siempre tuvo huevo, La que corre a los sureños, Nunca te va abandonar, Once vos Sos mi vida, vos Sos la pasión, Que se lleva en el alma, Que se lleva en el corazón, Yo daría la vida (mi vida) por esta pasión, Te quiero con el alma, Once caldas de mi corazón. Blanco yo desde niño, soy tu hincha fiel, Por ti yo doy la vida, No quiero nunca verte Perder."
"55","1648748841-3460","https://barrabrava.net/pumas/la-rebel/letra/dale-azul-y-oro/","""Dale Azul y Oro""","La Rebel"," Pumas","México","Dale dale oh Dale Azul y Oro Dale dale oh Dale Azul y Oro Dale dale Pumas campeón Dale Pumas Campeón Dale dale oh"
"56","1648749189-3633","https://barrabrava.net/atletico-platense/la-banda-mas-fiel/letra/vamos-calamares-vamos-a-volver/","""Vamos calamares, vamos a volver""","La Banda Más Fiel"," Atlético Platense","Argentina","Desde pendejo yo siempre te sigo, de la camiseta yo me enamoré, la gente ya sabe que sos de primera, por eso este año vamos a volver, nosotros sabemos que estamo´ en las malas, las buenas muy pronto ya van a venir, por eso te pido que dejes la vida, porque toda tu gente quiere festejar…. vamos calamares, vamos a volver, que te queda chica la “b” y a primera vamo´ a volver (x2), yo soy de Saavedra, soy del calamar (x2), llora la quema y La Paternal (x2).."
"57","1648749315-3696","https://barrabrava.net/nacional/la-banda-del-parque/letra/en-el-parque-hay-una-banda/","""En el Parque hay una banda""","La Banda del Parque"," Nacional","Uruguay","En el Parque, hay una banda, La que va dejar la vidaa, La que fuma, marihuana, La que toma cocainaaa, Aaaay ay ay ay aaay, La que se coje a la barra amsterdam, Aaaay ay ay ay aaay, La que se coje a la barra amsterdam."
"58","1648752002-4865","https://barrabrava.net/tigre/la-barra-del-matador/letra/almirante-vigilante/","""Almirante vigilante""","La Barra Del Matador"," Tigre","Argentina","Almirante vigilante tiras tiro a los pibes vos no tenes aguante. Almirante vigilante tiras tiro a los pibes vos no tenes aguante."
"59","1648749502-3789","https://barrabrava.net/bolivar/la-vieja-escuela/letra/ponga-huevo-y-vaya-al-frente/","""Ponga Huevo Y Vaya Al Frente""","La Vieja Escuela"," Bolívar","Bolívia","Vamoos AKD Vamos, vamos, vamos la Academia Ponga Huevo Y vaya al frente Para toda la alegría De esta gente"
"60","1648749801-3936","https://barrabrava.net/abc/movimento-90/letra/alvinegro-eu-sou/","""Alvinegro eu sou""","Movimento 90"," ABC","Brasil","Dale Dale Dale Dale Dale Dale Dale ÔÔÔÔ Alvinegro eu sou (2x) ÔÔÔ ÔÔÔ"
"61","1648750131-4053","https://barrabrava.net/liga-de-portoviejo/mafia-verde/letra/eres-la-alegria-de-mi-corazon-ldup/","""Eres la Alegría de mi Corazón -LDUP-""","Máfia Verde"," Liga de Portoviejo","Ecuador","Liga!! Liga de mi vida eres la alegría de mi corazón sabes!, todo lo que siento lo llevo adentro de mi corazón"
"62","1648753007-5354","https://barrabrava.net/boca-juniors/la-12/letra/cuando-me-muera-no-quiero-nada-de-flores/","""Cuando me muera no quiero nada de flores""","La 12"," Boca Juniors","Argentina","Al gallinero ya se lo prendimos fuego A San Lorenzo lo corrimos en Boedo A Avellaneda lo defiendo un policía Hay que puta que son las hinchadas unidas Quiero que sepan que el Xeneize es mi alegría Aunque no entiendan yo por Boca doy la vida Cuando me muera no quiero nada de flores Yo quiero un trapo que tenga estos colores Y dale dale dale dale dale Bo Y dale dale dale dale dale Bo Y dale dale dale dale dale Bo Y dale dale dale dale dale Bo"
"63","1648749674-3873","https://barrabrava.net/universidad-de-chile-la-u/los-de-abajo/letra/esta-noche-cantare/","""Esta Noche, Cantare""","Los de Abajo"," Universidad de Chile - La U","Chile","Esta Noche, Cantare  La Bullanguera, Llego Otra Vez  La Polera, Se Armo la Fiesta Dale oh, Dale oh, Vamos a Ser Campeon !"
"64","1648750393-4183","https://barrabrava.net/belgrano/los-piratas-celestes-de-alberdi/letra/fuego-y-pasion/","""Fuego y pasion""","Los Piratas Celestes de Alberdi"," Belgrano","Argentina","De pendejo te vine a alentar, Muchos años me viste viajar, Esos palos que yo me aguante, Por el hecho de volverte a ver, Estoy presente de nuevo, Siempre pidiendo mas huevo, Soy de belgrano y quiero dar la vida por vos, Si no te veo me muero"
