"id","order","start.url","titulo","barra","club","pais","cancion"
"1476","1648750615-4264","https://barrabrava.net/junior-de-barranquilla/la-banda-de-los-kuervos/letra/barranquilla-es-carnaval/","""Barranquilla es Carnaval""","La Banda de Los Kuervos"," Junior de Barranquilla","Colombia","Vamos vamos tiburón Yo te quiero ver campeón Yo te sigo donde vas Tu eres mi felicidad Barranquilla es carnaval Tambien es tierra de paz Ademas de rió y mar ... y Junior es tu papá"
"1477","1648752343-5034","https://barrabrava.net/mineros-de-guayana/la-pandilla-del-sur/letra/una-vez-mas/","""Una Vez Mas""","La Pandilla del Sur"," Mineros de Guayana","Venezuela","Vamos Vamos Mineros Vamos Vamos a Ganar Una Vez Mas Te venimos a Alentar"
"1478","1648750145-4060","https://barrabrava.net/independiente-santa-fe/la-guardia-albi-roja-sur/letra/el-regalo-de-mi-viejo/","""El regalo de mi viejo""","La Guardia Albi Roja Sur"," Independiente Santa Fe","Colombia","Siempre he sido del expreso fue el regalo de mi viejo el leon es mi alegria lo mas grande de mi vida al expreso yo lo sigo al expreso yo lo quiero regalame ese momento de verte salir primero vamos albi-rojo vamos el leon yo te quiero Daria la vida por verte campeon yo me muero"
"1479","1648749391-3734","https://barrabrava.net/fluminense/o-bravo-ano-de-52/letra/minha-raiz/","""Minha Raiz""","O Bravo Ano de 52"," Fluminense","Brasil","Nenseee, nenseeee, nenseee, nenseee, nense. Nenseee, nenseeee, nenseee, nenseee, nense. Fluminense te amar é minha raiz Estar ao seu lado é o que eu sempre quis São tantas recordações Das taças que levantei Dos títulos brasileiros que em laranjeiras eu festejei Tricolor, minha paixão Te levarei no peito desde o berço até o caixão"
"1480","1648749803-3937","https://barrabrava.net/penarol/barra-amsterdam/letra/esta-banda-siempre-estara-a-tu-lado/","""Esta banda siempre estará a tu lado""","Barra Amsterdam"," Peñarol","Uruguay","Aunque gane o pierda, esta banda siempre estará a tu lado de la cabeza, siempre está de fiesta, pasan campeonatos, pasan jugadores, yo igual te sigo no importa a donde, por estos colores."
"1481","1648749583-3829","https://barrabrava.net/flamengo/nacao-12/letra/nao-somos-como-a-torcida-de-sao-januario/","""Não somos como a torcida de São Januario""","Nação 12"," Flamengo","Brasil","Quando estão perdendo, não cantam nunca Quando estão perdendo, não tem amor Não somos como a torcida de São Januário Que sempre dão as costas pro jogador O Flamengo é minha vida E eu canto até morrer Bacalhau filha da puta Vê se aprende a torcer Não importa o resultado Te apóio sem parar E eu canto mais ainda Se o Flamengo não ganhar"
"1482","1648752305-5015","https://barrabrava.net/remo/camisa-33/letra/quero-o-acesso-e-o-campeonato/","""Quero o acesso e o campeonato""","Camisa 33"," Remo","Brasil","Vai pra cima Remo, Seja o mais guerreiro, Que a volta tá acontecendo, Como no passado, Memórias que ainda guardo, Quero o acesso e o campeonato Te apoio não importa a divisão, Tens torcida, tens história e tradição, Vamos que eu acredito meu Leão, Jogue com raça para ser o campeão!"
"1483","1648748811-3445","https://barrabrava.net/everton-de-vina-del-mar/los-del-cerro/letra/no-somos-tira-piedras-como-todos-los-portenos/","""No somos tira piedras como todos los porteños""","Los del Cerro"," Everton de Viña del Mar","Chile","Vamos everton, vamos a ganar Donde jugues, vamos a estar Te alentare desde el cerro Te quiero ver salir campeon Vamos, vamos oro y cielo Hay que poner mas huevos Que no somos tira piedras Como todos los porteños Y porteño ya nos vamos a encontrar No te vas a salvar"
"1484","1648754333-5996","https://barrabrava.net/junior-de-barranquilla/la-banda-de-los-kuervos/letra/saluden-al-campeon/","""Saluden al Campeón""","La Banda de Los Kuervos"," Junior de Barranquilla","Colombia","Yo te imagino rojiblanco Celebrando la libertadores Siempre te sigo a todos lados Vamos mi junior de mis amores El día que la vuelta yo di Me emborrache con todas las banderas No paro de festejar Somas la banda del carnaval la alegría que yo sentí que por tv los samarios lo vieron yo les pido un favor saluden todos al campeón"
"1485","1648748616-3348","https://barrabrava.net/comunicaciones/vltra-svr/letra/crema-vos-sos-mi-vida/","""Crema vos sos mi vida""","Vltra Svr"," Comunicaciones","Guatemala","Crema, vos sos mi vida Mi locura sos mi alegría Te llevamos en el corazón Esta hinchada deja la vida por verte campeón En donde juegues vos me veras, siempre alentando Hoy tenes que ganar, que la Vltra es un carnaval El crema es así, el más grande de todo el país"
"1486","1648749351-3714","https://barrabrava.net/alianza-lima/comando-svr/letra/locos-de-la-cabeza/","""Locos de la cabeza""","Comando SVR"," Alianza Lima","Peru","Dicen que estamos locos de la cabeza Pero a esta hinchada no le interesa Señores soy del Comando, y nadie nos va a parar Que vengan esas gallinas para correrlas una vez más Vamos Groneeee Vamos Groneeee Vamos Groneeee Vamos Groneeee"
"1487","1648752109-4918","https://barrabrava.net/deportes-temuco/los-devotos/letra/loco-soy-por-temuco-cumbia-de-los-trapos/","""Loco soy por Temuco (Cumbia de los Trapos)""","Los Devotos"," Deportes Temuco","Chile","Borracho, yo voy cantando Con los devotos voy festejando un triunfo más (un triunfo más) Loco, soy por Temuco Te sigo a muerte por donde vas, porque la vuelta queremos dar... la vamo’ a dar..."
"1488","1648750771-4337","https://barrabrava.net/atlanta/la-banda-de-villa-crespo/letra/bohemio-no-importa-donde-juegues-voy-a-todos-lados/","""Bohemio, no importa donde juegues voy a todos lados""","La Banda de Villa Crespo"," Atlanta","Argentina","Bohemio... No importa donde juegues voy a todos lados Local o Visitante voy descontrolado Bohemio Ponga huevo que ganamos Vamo' el Bohemio, hoy te vengo alentar Para ser campeón hoy hay que ganar.."
"1489","1648753019-5359","https://barrabrava.net/internacional/guarda-popular/letra/gremio-puto/","""Grêmio Puto""","Guarda Popular"," Internacional","Brasil","Grêmio puto Grêmio puto Que amargo que tu tá Tu vai assistir a copa Sentadinho no sofá"
"1490","1648750555-4234","https://barrabrava.net/boca-juniors/la-12/letra/queremos-la-copa/","""Queremos la copa""","La 12"," Boca Juniors","Argentina","dale dale bo!!! queremos la copa la 12 esta loca y quiere un campeonato para festejar ponga huevo xeneizes hoy no podemos perder"
"1491","1648748638-3359","https://barrabrava.net/deportivo-quito/mafia-azul-grana/letra/el-vino-y-la-droga-me-vuela-la-mente/","""El vino y la droga me vuela la mente""","Mafia Azul Grana"," Deportivo Quito","Ecuador","El vino y la droga me vuela la mente yo vengo a alentarte con toda esta gente ganes o pierdas ya no me interesa Ni vergas estamos re-locos todos por la academia y vamos a matar a todos los de liga a vos hijueputa y no los va salvar ni la policía el brujo le corre gallina cagon habran la 13 la banda ya llego me vuela la cabeza alentando a ala akd gallina cojuda te vas para la B"
"1492","1648754360-6009","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/corazon-albiverde/","""Corazón AlbiVerde""","Los de Siempre"," Oriente Petrolero","Bolívia","Hey! yo soy de Oriente y lo voy a gritar para que escuche la gente Hey! yo soy de Oriente y lo voy a gritar para que escuche la gente Mi corazón.. es albiverde así nací.. que le vamos a hacer mi corazón.. es albiverde así nació.. que le vamos A hacer si así nací así viviré y así moriré con el corazón verde Asi así nací así viviré y así moriré con el corazón Albiverde Oleee oleee olee olaaa Oriente siempre a sido tu papá Oleee oleee olee olaaa Oriente siempre a sido tu papá Arriba arriba abajo abajo Grita con fuerza no se escucha un carajo Arriba arriba abajo abajo vamos a gritar VIVA ORIENTE CARAJO!!!! Eeeee oleee oleee oleee oleee ORIENTE! Eeeee oleee oleee oleee oleee ORIENTE! VIVA ORIENTE CARAJO"
"1493","1648754270-5964","https://barrabrava.net/cruz-azul/la-sangre-azul/letra/yo-soy-celeste/","""Yo soy celeste""","La Sangre Azul"," Cruz Azul","México","ole ole ole ole ole ole ola ole ole ole cada dia te quiero mas yo soy celeste es un sentimiento que no morira"
